gene_name,GSM2648567,GSM2648568,GSM2648569,GSM2648570,GSM2648571,GSM2648572,GSM2648573,GSM2648574,GSM2648575,GSM2648576,GSM2648577,GSM2648578,GSM2648579,GSM2648580,GSM2648581,GSM2648582,GSM2648583,GSM2648584,GSM2648585,GSM2648586,GSM2648587,GSM2648588,GSM2648589,GSM2648590
KCNAB2,11.783427378790892,11.655170522791238,11.79655790266125,11.76000420506195,11.470376730725874,11.674179074153377,11.752005189561032,11.759400065731057,11.93044235962122,10.88354574803445,11.865953687792736,11.884548753812368,11.766865859996123,11.797334654390879,11.829782130129116,11.837351764536175,11.950812925690732,11.16254346171992,11.876314113595267,11.843440915422974,11.6717626841104,11.860693816900989,11.84123402934621,11.836881397711304
PGD,12.101472628538815,12.190005635393334,12.108527775065722,12.181434151497456,12.19615021027628,12.212098163218212,12.083364470861966,12.16611498288491,12.309347402329621,12.42642060171711,12.249240257024375,12.256230835220332,12.338546214781088,12.290414999270142,12.299634791852617,12.2969817243297,12.231156320979194,12.363766506282122,12.299564558456614,12.17776707310657,12.275859960813513,12.272006619211064,12.278278482238706,12.346441113445549
RNU5E,10.454388960709949,10.491733945808532,10.493354594330642,10.47825685344253,10.277497791082821,10.598300870792933,10.67625245249431,10.670655055785181,10.465346866275764,10.354519807862898,10.71019879825225,10.935068804478465,10.903766963255787,10.451587954173865,10.739199006610944,10.864945356392834,10.200456579093743,10.074989135660243,10.563287047987714,10.263299248736326,9.922897072702524,10.144861474949996,9.81604159151713,10.602046387624611
PLOD1,10.697561766837627,10.570444094817192,10.698561310247156,10.640233771809639,10.501155107081289,10.559206226628785,10.757007403178912,10.71454515475862,10.218480848941171,9.649380789861796,10.13542355577299,10.242628186076155,10.126398721903024,10.131441182381206,10.0617187217263,10.210142762336,10.391185948926415,9.776662253164533,10.318967605572652,10.324312066563085,10.160260956359481,10.36975999483836,10.354105927790982,10.280516935549006
MFN2,10.345037761806752,10.170794887828599,10.329145170782677,10.302481901288598,10.263505485994473,10.234471523004748,10.27600747836695,10.354245520354757,10.401525167046778,10.144127782360718,10.278803156192913,10.209413279318701,10.2145776871612,10.32315582076665,10.238863867480552,10.258039354084568,10.394595232651934,10.125207137523198,10.31042042376967,10.34645931803408,10.356962141381215,10.363843193500484,10.294418582122423,10.260137745223169
EFHD2,9.78765790699095,10.196208478426847,9.875138451975202,9.85295095923144,10.327009792183595,10.166368592832953,9.987232534421207,9.884014214764138,9.780965778552057,10.201541294177584,9.924230411767784,9.85549065945663,10.131733250726771,9.8497691352151,9.794488338802552,9.851825849077859,9.91376188877074,10.41621633879506,10.057553799551627,10.156757622606937,10.403268275223734,9.967662785813419,9.955567506067993,9.820586894891749
NECAP2,10.275349641912648,10.7047102323996,10.353773580850229,10.35293471178739,10.748246041016587,10.619594293567776,10.294746306695695,10.422184988628707,10.29982497892804,10.988062102411702,10.26016001766607,10.251716693415728,10.557868550440004,10.401035836359924,10.211161583338301,10.258278438569173,10.230067210980389,10.74350749379384,10.353866098758862,10.417667698839784,10.62850626447068,10.457490841071522,10.267852018323849,10.291870913091993
RPL11,11.301565505974365,11.515395774500867,11.593393542701559,11.45050830807828,11.522493576069202,11.69405160123554,11.626033066142929,11.453311717958771,11.472596263144174,11.49437234937756,11.488492475917798,11.47755901724639,11.427307176398113,11.43489304336064,11.429334651517406,11.46343359247241,11.495051855419211,11.398562041904158,11.663964130134518,11.616278554050552,11.521267749122208,11.575976535601791,11.417507827504302,11.444439559484739
PNRC2,11.579567359528651,11.402594223470164,11.462342368805519,11.49508195635486,11.317978372167346,11.460304253481633,11.442344551522305,11.593058594735838,11.504216741048966,11.802584835648045,11.415256562025833,11.42871825576476,11.375036755908729,11.470358404307731,11.434386830675724,11.42905523595737,11.546010619810655,11.642297193803232,11.441837370295621,11.261962670526346,11.382219498642973,11.436996778964938,11.453745859432635,11.556570082420274
SRRM1,10.501638366715989,10.543190968156756,10.504197101689648,10.44479162222187,10.606955696411932,10.567691575554099,10.62234582308115,10.538994779435411,10.40372798691348,10.376389703981143,10.545183581211287,10.543146856396516,10.519382313571679,10.420356070997487,10.564893843223793,10.472408480090701,10.519956600700306,10.376578480181745,10.551490937429213,10.61438386131642,10.644058173528663,10.534679569184915,10.622728956857749,10.544626844504487
