,t_statistic,p_value
60,-2.783300647333449,0.010838488830440971
124,0.17600917656620949,0.8618968238311964
167,2.234986965292126,0.035893436416413065
275,2.9366237991578683,0.007634613427948077
422,2.364105886571465,0.027319603615144246
527,1.558665723253806,0.1333458492203193
